id;name;created_date;translation_key;sub_category_id
1;Angestellter;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.employee;1
2;öffentlicher Dienst;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.public-service;1
3;Beamter;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.official;1
4;Immobilie;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.realestate;4
5;Service;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.service;5
6;Wartung;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.maintenance;5
7;Elektrik;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.electric;6
8;Photovoltaik;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.photovoltaic;6
9;Heizen;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.heating;6
10;KFZ;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.car;7
11;Geräte;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.devices;7
12;Gegenstände;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.objects;7
13;Immobilie;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.realestate;7
14;KFZ;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.car;8
15;Kredit;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.credit;8
16;KFZ;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.car;9
17;Geräte;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.devices;10
18;Fernsehen;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.television;11
19;Internet;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.internet;11
20;Mobilfunk;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.cellular;11
21;Streaming;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.streaming;11
22;Abstellplatz;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.put-down-space;12
23;Immobilie;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.realestate;12
24;KFZ;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.car;12
25;Wohnen;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.reside;12
26;KFZ;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.car;13
27;Kranken;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.health;13
28;Leben;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.life;13
29;Sach;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.object;13
30;Gewerbe;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.business;13
31;Förderung;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.support;4
32;Gewerbehaus;2023-06-13 00:00:00;jaynaApp.realestate.sub-category-group.commercial-building;16
33;Halle;2023-06-13 00:00:00;jaynaApp.realestate.sub-category-group.hall;16
34;Wohnhaus;2023-06-13 00:00:00;jaynaApp.realestate.sub-category-group.residential-building;16
35;Wohn + Gewerbehaus;2023-06-13 00:00:00;jaynaApp.realestate.sub-category-group.commercial-residential-building;16
36;Parkfläche;2023-06-13 00:00:00;jaynaApp.realestate.sub-category-group.parking-space;16
37;Bewirtschaftung;2023-06-13 00:00:00;jaynaApp.realestate.sub-category-group.farmland;16
38;Garten;2023-06-13 00:00:00;jaynaApp.realestate.sub-category-group.garden;16
39;Grund;2023-06-13 00:00:00;jaynaApp.realestate.sub-category-group.ground;17
40;Gebühren;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.fees;5
41;Bankkonto;2023-06-13 00:00:00;jaynaApp.financeaccount.sub-category-group.bank-account;18
42;Kreditkarte;2023-06-13 00:00:00;jaynaApp.financeaccount.sub-category-group.credit-card;19
43;Bezahlsysteme;2023-06-13 00:00:00;jaynaApp.financeaccount.sub-category-group.payment-systems;20
44;Kontakt;2023-06-13 00:00:00;jaynaApp.contact.sub-category-group.contact;21
45;Anhänger;2023-06-13 00:00:00;jaynaApp.mobility.sub-category-group.trailer;25
46;Auto;2023-06-13 00:00:00;jaynaApp.mobility.sub-category-group.car;26
47;Bike;2023-06-13 00:00:00;jaynaApp.mobility.sub-category-group.bike;23
48;E-Bike;2023-06-13 00:00:00;jaynaApp.mobility.sub-category-group.e-bike;23
49;Hybrid;2023-06-13 00:00:00;jaynaApp.mobility.sub-category-group.hybrid;22
50;Kasten;2023-06-13 00:00:00;jaynaApp.mobility.sub-category-group.box;25
51;Motorbetrieben;2023-06-13 00:00:00;jaynaApp.mobility.sub-category-group.motorized;22
52;Motorrad;2023-06-13 00:00:00;jaynaApp.mobility.sub-category-group.motorcycle;26
53;Pedelec;2023-06-13 00:00:00;jaynaApp.mobility.sub-category-group.pedelec;23
54;Quad;2023-06-13 00:00:00;jaynaApp.mobility.sub-category-group.quad;26
55;Segeln;2023-06-13 00:00:00;jaynaApp.mobility.sub-category-group.sailing;22
56;Traktor;2023-06-13 00:00:00;jaynaApp.mobility.sub-category-group.tractor;24
57;Wohnmobil;2023-06-13 00:00:00;jaynaApp.mobility.sub-category-group.camper;26
58;Wohnwagen;2023-06-13 00:00:00;jaynaApp.mobility.sub-category-group.caravan;25
